iter	RMSE
0	20393.1583
1	20123.45106
2	19745.36238
3	19627.88518
4	19332.69714
5	19055.46205
6	18893.97203
7	18565.84116
8	18268.30827
9	18037.93341
10	17764.00817
11	17462.18315
12	17243.23434
13	16967.53659
14	16686.62531
15	16594.00484
16	16355.5114
17	16120.65114
18	15875.92874
19	15610.97768
20	15375.72585
21	15109.11372
22	14886.98252
23	14653.27412
24	14438.46302
25	14194.46539
26	14035.59188
27	13830.0738
28	13633.47881
29	13448.0684
30	13326.68136
31	13188.01199
32	12972.08006
33	12789.6799
34	12593.21254
35	12408.46008
36	12328.75894
37	12135.42443
38	11961.71126
39	11794.26296
40	11694.8437
41	11515.82706
42	11368.46137
43	11194.60778
44	11073.79765
45	10911.44102
46	10767.93066
47	10611.77671
48	10470.58901
49	10303.27395
50	10166.82553
51	10039.87207
52	9916.064736
53	9792.170114
54	9662.01217
55	9552.545602
56	9435.37038
57	9316.947232
58	9205.023757
59	9131.766431
60	9016.763419
61	8912.520754
62	8845.514526
63	8728.043653
64	8619.298309
65	8496.53311
66	8395.979607
67	8298.161018
68	8177.298802
69	8084.990716
70	7990.997547
71	7893.451573
72	7794.783427
73	7700.553954
74	7609.265006
75	7513.829364
76	7414.302108
77	7316.290878
78	7234.103977
79	7140.850751
80	7045.642362
81	6952.615987
82	6875.412651
83	6795.391609
84	6713.425049
85	6628.978507
86	6547.235319
87	6463.435671
88	6385.797806
89	6305.653866
90	6226.312984
91	6148.638878
92	6076.591059
93	6002.084363
94	5931.511788
95	5861.395689
96	5796.55594
97	5729.892743
98	5653.495074
99	5589.133913
100	5522.191696
101	5453.300769
102	5392.488115
103	5329.159906
104	5265.184608
105	5207.258781
106	5144.981642
107	5089.055475
108	5034.27302
109	4966.697026
110	4911.515908
111	4855.299089
112	4794.05844
113	4730.035909
114	4676.984101
115	4624.386464
116	4570.466227
117	4519.583246
118	4465.9615
119	4416.878666
120	4357.958878
121	4307.448196
122	4258.106893
123	4216.228739
124	4160.762773
125	4112.313049
126	4058.267038
127	4004.409617
128	3962.554355
129	3909.616156
130	3861.045408
131	3809.982851
132	3770.696392
133	3726.742201
134	3677.535649
135	3640.096273
136	3599.197833
137	3557.358704
138	3516.083679
139	3470.166401
140	3429.965316
141	3384.729053
142	3340.799256
143	3307.345657
144	3263.865155
145	3221.022027
146	3178.805955
147	3140.571482
148	3101.829738
149	3071.211623
150	3034.092133
151	2997.529357
152	2967.773596
153	2929.032504
154	2900.905189
155	2863.132338
156	2835.416906
157	2801.373731
158	2775.21194
159	2739.190091
160	2713.336733
161	2680.066605
162	2648.02297
163	2613.756908
164	2588.636932
165	2556.833103
166	2533.320157
167	2509.630909
168	2478.856696
169	2456.667153
170	2425.958813
171	2394.672171
172	2365.349785
173	2334.865851
174	2307.212882
175	2277.543228
176	2256.972563
177	2237.328467
178	2209.969101
179	2191.649628
180	2163.569706
181	2145.938333
182	2128.721811
183	2101.552629
184	2084.275986
185	2068.09228
186	2051.586052
187	2028.515827
188	2004.675719
189	1979.172143
190	1954.037794
191	1938.532611
192	1923.499854
193	1899.159124
194	1885.411933
195	1864.196429
196	1842.427011
197	1828.536738
198	1805.680029
199	1784.657644
