iter	Passed	Remaining
0	18	3591
1	27	2747
2	39	2583
3	69	3394
4	88	3469
5	115	3728
6	139	3858
7	150	3608
8	165	3518
9	188	3582
10	211	3631
11	222	3484
12	246	3544
13	269	3581
14	280	3464
15	292	3368
16	319	3440
17	340	3438
18	356	3399
19	373	3357
20	389	3320
21	401	3248
22	425	3271
23	461	3385
24	479	3354
25	490	3280
26	500	3203
27	525	3229
28	546	3223
29	561	3184
30	578	3155
31	595	3125
32	615	3114
33	633	3091
34	651	3072
35	664	3028
36	683	3011
37	692	2954
38	715	2952
39	724	2899
40	738	2862
41	746	2807
42	768	2806
43	789	2797
44	820	2824
45	843	2822
46	859	2797
47	888	2812
48	906	2792
49	930	2791
50	951	2779
51	971	2764
52	988	2742
53	1009	2728
54	1037	2735
55	1073	2759
56	1085	2723
57	1111	2720
58	1138	2721
59	1179	2751
60	1203	2743
61	1233	2745
62	1253	2725
63	1276	2711
64	1294	2689
65	1313	2667
66	1331	2643
67	1349	2620
68	1363	2588
69	1381	2565
70	1399	2541
71	1417	2519
72	1435	2497
73	1453	2475
74	1471	2451
75	1488	2429
76	1506	2405
77	1523	2383
78	1541	2361
79	1559	2338
80	1579	2321
81	1598	2300
82	1617	2279
83	1636	2259
84	1654	2238
85	1671	2216
86	1689	2194
87	1707	2172
88	1731	2159
89	1749	2138
90	1767	2117
91	1785	2096
92	1803	2074
93	1821	2053
94	1838	2032
95	1858	2013
96	1876	1992
97	1894	1971
98	1912	1950
99	1933	1933
100	1959	1920
101	1985	1907
102	2007	1890
103	2037	1880
104	2069	1872
105	2098	1860
106	2124	1846
107	2147	1829
108	2169	1811
109	2199	1799
110	2218	1779
111	2243	1762
112	2269	1746
113	2294	1730
114	2320	1715
115	2347	1700
116	2369	1681
117	2391	1661
118	2417	1645
119	2443	1628
120	2464	1609
121	2484	1588
122	2510	1571
123	2534	1553
124	2555	1533
125	2577	1513
126	2600	1494
127	2628	1478
128	2656	1461
129	2686	1446
130	2708	1426
131	2735	1409
132	2763	1392
133	2802	1380
134	2835	1365
135	2867	1349
136	2892	1330
137	2911	1308
138	2933	1287
139	2956	1267
140	2982	1247
141	3005	1227
142	3043	1213
143	3074	1195
144	3098	1175
145	3126	1156
146	3174	1144
147	3199	1124
148	3224	1103
149	3248	1082
150	3276	1063
151	3299	1041
152	3326	1021
153	3346	999
154	3369	978
155	3390	956
156	3417	935
157	3441	914
158	3471	895
159	3494	873
160	3520	852
161	3546	831
162	3582	813
163	3612	792
164	3637	771
165	3659	749
166	3677	726
167	3696	704
168	3713	681
169	3731	658
170	3750	636
171	3772	614
172	3789	591
173	3808	569
174	3825	546
175	3842	523
176	3860	501
177	3880	479
178	3898	457
179	3915	435
180	3931	412
181	3948	390
182	3967	368
183	3984	346
184	4001	324
185	4019	302
186	4036	280
187	4052	258
188	4070	236
189	4088	215
190	4106	193
191	4124	171
192	4143	150
193	4163	128
194	4181	107
195	4201	85
196	4220	64
197	4238	42
198	4256	21
199	4274	0
